minecraft:apple	苹果
minecraft:barrel	木桶
minecraft:loom	纺织机
minecraft:bell	钟
minecraft:sweet_berry_bush	甜莓灌木丛
minecraft:lantern	灯笼
minecraft:campfire	营火
minecraft:lava_cauldron	装有熔岩的锅釜
minecraft:jigsaw	拼图方块
minecraft:wood	木块
minecraft:composter	堆肥桶
minecraft:lit_blast_furnace	燃烧的高炉
minecraft:light_block	光源方块
minecraft:wither_rose	凋零玫瑰
minecraft:sticky_piston_arm_collision	黏性活塞臂
minecraft:bee_nest	蜂窝
minecraft:beehive	蜂箱
minecraft:honey_block	蜂蜜块
minecraft:honeycomb_block	蜂巢块
minecraft:lodestone	磁石
minecraft:crimson_roots	绯红蕈根
minecraft:warped_roots	扭曲蕈根
minecraft:crimson_stem	绯红蕈柄
minecraft:warped_stem	扭曲蕈柄
minecraft:warped_wart_block	扭曲疙瘩块
minecraft:crimson_fungus	绯红蕈菇
minecraft:warped_fungus	扭曲蕈菇
minecraft:shroomlight	蕈光体
minecraft:weeping_vines	垂泣藤
minecraft:crimson_nylium	绯红菌丝石
minecraft:warped_nylium	扭曲菌丝石
minecraft:basalt	玄武岩
minecraft:polished_basalt	抛光玄武岩
minecraft:soul_soil	灵魂土
minecraft:soul_fire	灵魂火
minecraft:nether_sprouts	地狱芽
minecraft:target	标靶
minecraft:stripped_crimson_stem	剥皮绯红蕈柄
minecraft:stripped_warped_stem	剥皮扭曲蕈柄
minecraft:crimson_planks	绯红蕈木材
minecraft:warped_planks	扭曲蕈木材
minecraft:crimson_door	绯红蕈木门
minecraft:warped_door	扭曲蕈木门
minecraft:crimson_trapdoor	绯红蕈木地板门
minecraft:warped_trapdoor	扭曲蕈木地板门
minecraft:crimson_standing_sign	绯红蕈木告示牌
minecraft:warped_standing_sign	扭曲蕈木告示牌
minecraft:crimson_wall_sign	墙上的绯红蕈木告示牌
minecraft:warped_wall_sign	墙上的扭曲蕈木告示牌
minecraft:crimson_stairs	绯红蕈木阶梯
minecraft:warped_stairs	扭曲蕈木阶梯
minecraft:crimson_fence	绯红蕈木栅栏
minecraft:warped_fence	扭曲蕈木栅栏
minecraft:crimson_fence_gate	绯红蕈木栅栏门
minecraft:warped_fence_gate	扭曲蕈木栅栏门
minecraft:crimson_button	绯红蕈木按钮
minecraft:warped_button	扭曲蕈木按钮
minecraft:crimson_pressure_plate	绯红蕈木压力板
minecraft:warped_pressure_plate	扭曲蕈木压力板
minecraft:crimson_slab	绯红蕈木半砖
minecraft:warped_slab	扭曲蕈木半砖
minecraft:crimson_double_slab	双层绯红蕈木半砖
minecraft:warped_double_slab	双层扭曲蕈木半砖
minecraft:soul_torch	灵魂火把
minecraft:soul_lantern	灵魂灯笼
minecraft:netherite_block	狱髓方块
minecraft:ancient_debris	远古遗骸
minecraft:respawn_anchor	重生锚
minecraft:blackstone	黑石
minecraft:polished_blackstone_bricks	抛光黑石砖
minecraft:polished_blackstone_brick_stairs	抛光黑石砖阶梯
minecraft:blackstone_stairs	黑石阶梯
minecraft:blackstone_wall	黑石墙
minecraft:polished_blackstone_brick_wall	抛光黑石砖墙
minecraft:chiseled_polished_blackstone	浮雕抛光黑石
minecraft:cracked_polished_blackstone_bricks	裂纹抛光黑石砖
minecraft:gilded_blackstone	镶金黑石
minecraft:blackstone_slab	黑石半砖
minecraft:blackstone_double_slab	双层黑石半砖
minecraft:polished_blackstone_brick_slab	抛光黑石砖半砖
minecraft:polished_blackstone_brick_double_slab	双层抛光黑石砖半砖
minecraft:chain	锁链
minecraft:twisting_vines	扭曲藤
minecraft:nether_gold_ore	地狱金矿
minecraft:crying_obsidian	哭泣的黑曜石
minecraft:soul_campfire	灵魂营火
minecraft:polished_blackstone	抛光黑石
minecraft:polished_blackstone_stairs	抛光黑石阶梯
minecraft:polished_blackstone_slab	抛光黑石半砖
minecraft:polished_blackstone_double_slab	双层抛光黑石半砖
minecraft:polished_blackstone_pressure_plate	抛光黑石压力板
minecraft:polished_blackstone_button	抛光黑石按钮
minecraft:polished_blackstone_wall	抛光黑石墙
minecraft:warped_hyphae	扭曲菌丝体
minecraft:crimson_hyphae	绯红菌丝体
minecraft:stripped_crimson_hyphae	剥皮绯红菌丝体
minecraft:stripped_warped_hyphae	剥皮扭曲菌丝体
minecraft:chiseled_nether_bricks	浮雕地狱砖
minecraft:cracked_nether_bricks	裂纹地狱砖
minecraft:quartz_bricks	石英砖
minecraft:unknown	未知 [注 3]
minecraft:powder_snow	粉雪
minecraft:sculk_sensor	伏聆振测器
minecraft:pointed_dripstone	钟乳石
minecraft:copper_ore	铜矿
minecraft:lightning_rod	避雷针
minecraft:dripstone_block	钟乳石方块
minecraft:dirt_with_roots	扎根土
minecraft:hanging_roots	悬根
minecraft:moss_block	苔藓方块
minecraft:spore_blossom	孢子花
minecraft:cave_vines	洞穴藤蔓
minecraft:big_dripleaf	大悬叶草
minecraft:azalea_leaves	杜鹃叶
minecraft:azalea_leaves_flowered	开花的杜鹃叶
minecraft:calcite	方解石
minecraft:amethyst_block	紫水晶方块
minecraft:budding_amethyst	紫水晶芽床
minecraft:amethyst_cluster	紫水晶晶簇
minecraft:large_amethyst_bud	大型紫水晶芽
minecraft:medium_amethyst_bud	中型紫水晶芽
minecraft:small_amethyst_bud	小型紫水晶芽
minecraft:tuff	凝灰岩
minecraft:tinted_glass	遮光玻璃
minecraft:moss_carpet	覆地苔藓
minecraft:small_dripleaf	小悬叶草
minecraft:azalea	杜鹃丛
minecraft:flowering_azalea	开花的杜鹃丛
minecraft:glow_frame	萤光物品展示框
minecraft:copper_block	铜方块
minecraft:exposed_copper	斑驳的铜方块
minecraft:weathered_copper	风化的铜方块
minecraft:oxidized_copper	氧化的铜方块
minecraft:waxed_copper	涂蜡的铜方块
minecraft:waxed_exposed_copper	涂蜡的斑驳铜方块
minecraft:waxed_weathered_copper	涂蜡的锈蚀铜方块
minecraft:cut_copper	切制铜方块
minecraft:exposed_cut_copper	斑驳的切制铜方块
minecraft:weathered_cut_copper	风化的切制铜方块
minecraft:oxidized_cut_copper	氧化的切制铜方块
minecraft:waxed_cut_copper	涂蜡的切制铜方块
minecraft:waxed_exposed_cut_copper	涂蜡的斑驳切制铜方块
minecraft:waxed_weathered_cut_copper	涂蜡的锈蚀切制铜方块
minecraft:cut_copper_stairs	切制铜阶梯
minecraft:exposed_cut_copper_stairs	斑驳的切制铜阶梯
minecraft:weathered_cut_copper_stairs	风化的切制铜阶梯
minecraft:oxidized_cut_copper_stairs	氧化的切制铜阶梯
minecraft:waxed_cut_copper_stairs	涂蜡的切制铜阶梯
minecraft:waxed_exposed_cut_copper_stairs	涂蜡的斑驳切制铜阶梯
minecraft:waxed_weathered_cut_copper_stairs	涂蜡的锈蚀切制铜阶梯
minecraft:cut_copper_slab	切制铜半砖
minecraft:exposed_cut_copper_slab	斑驳的切制铜半砖
minecraft:weathered_cut_copper_slab	风化的切制铜半砖
minecraft:oxidized_cut_copper_slab	氧化的切制铜半砖
minecraft:waxed_cut_copper_slab	涂蜡的切制铜半砖
minecraft:waxed_exposed_cut_copper_slab	涂蜡的斑驳切制铜半砖
minecraft:waxed_weathered_cut_copper_slab	涂蜡的锈蚀切制铜半砖
minecraft:double_cut_copper_slab	双切制铜半砖
minecraft:exposed_double_copper_slab	斑驳的双切制铜半砖
minecraft:weathered_double_cut_copper_slab	风化的双切制铜半砖
minecraft:oxidized_double_cut_copper_slab	氧化的双切制铜半砖
minecraft:waxed_double_cut_copper_slab	涂蜡双切制铜半砖
minecraft:waxed_exposed_double_cut_copper_slab	上蜡的斑驳双切制铜半砖
minecraft:waxed_weathered_double_cut_copper_slab	上蜡的风化双切制铜半砖
minecraft:cave_vines_body_berries	洞穴藤蔓（带浆果）
minecraft:cave_vines_head_berries	洞穴藤蔓首部（带浆果）
minecraft:smooth_basalt	平滑玄武岩
minecraft:deepslate	深板岩
minecraft:cobbled_deepslate	深板岩碎石
minecraft:cobbled_deepslate_slab	碎深板岩半砖
minecraft:cobbled_deepslate_stairs	碎深板岩阶梯
minecraft:cobbled_deepslate_wall	碎深板岩墙
minecraft:polished_deepslate	抛光深板岩
minecraft:polished_deepslate_slab	抛光深板岩半砖
minecraft:polished_deepslate_stairs	抛光深板岩阶梯
minecraft:polished_deepslate_wall	抛光深板岩墙
minecraft:deepslate_tiles	深板岩砖瓦
minecraft:deepslate_tile_slab	深板岩砖瓦半砖
minecraft:deepslate_tile_stairs	深板岩砖瓦阶梯
minecraft:deepslate_tile_wall	深板岩砖瓦墙
minecraft:deepslate_bricks	深板岩砖
minecraft:deepslate_brick_slab	深板岩砖半砖
minecraft:deepslate_brick_stairs	深板岩砖阶梯
minecraft:deepslate_brick_wall	深板岩砖墙
minecraft:chiseled_deepslate	浮雕深板岩
minecraft:cobbled_deepslate_double_slab	双层碎深板岩半砖
minecraft:polished_deepslate_double_slab	双层抛光深板岩半砖
minecraft:deepslate_tile_double_slab	双层深板岩砖瓦半砖
minecraft:deepslate_brick_double_slab	双层深板岩砖半砖
minecraft:deepslate_lapis_lazuli_ore	深板岩青金石矿
minecraft:deepslate_iron_ore	深板岩铁矿
minecraft:deepslate_gold_ore	深板岩金矿
minecraft:deepslate_redstone_ore	深板岩红石矿
minecraft:lit_deepslate_redstone_ore	发光的深板岩红石矿
minecraft:deepslate_diamond_ore	深板岩钻石矿
minecraft:deepslate_coal_ore	深板岩煤矿
minecraft:deepslate_emerald_ore	深板岩绿宝石矿
minecraft:deepslate_copper_ore	深板岩铜矿
minecraft:cracked_deepslate_tiles	裂纹深板岩砖瓦
minecraft:cracked_deepslate_bricks	裂纹深板岩砖
minecraft:glow_lichen	发光地衣
minecraft:candle	蜡烛
minecraft:white_candle	白色蜡烛
minecraft:orange_candle	橙色蜡烛
minecraft:magenta_candle	洋红色蜡烛
minecraft:light_blue_candle	浅蓝色蜡烛
minecraft:yellow_candle	黄色蜡烛
minecraft:lime_candle	浅绿色蜡烛
minecraft:pink_candle	粉红色蜡烛
minecraft:gray_candle	灰色蜡烛
minecraft:light_gray_candle	浅灰色蜡烛
minecraft:cyan_candle	青色蜡烛
minecraft:purple_candle	紫色蜡烛
minecraft:blue_candle	蓝色蜡烛
minecraft:brown_candle	棕色蜡烛
minecraft:green_candle	绿色蜡烛
minecraft:red_candle	红色蜡烛
minecraft:black_candle	黑色蜡烛
minecraft:candle_cake	蜡烛蛋糕
minecraft:white_candle_cake	插上白色蜡烛的蛋糕
minecraft:orange_candle_cake	插上橙色蜡烛的蛋糕
minecraft:magenta_candle_cake	插上洋红色蜡烛的蛋糕
minecraft:light_blue_candle_cake	插上浅蓝色蜡烛的蛋糕
minecraft:yellow_candle_cake	插上黄色蜡烛的蛋糕
minecraft:lime_candle_cake	插上浅绿色蜡烛的蛋糕
minecraft:pink_candle_cake	插上粉红色蜡烛的蛋糕
minecraft:gray_candle_cake	插上灰色蜡烛的蛋糕
minecraft:light_gray_candle_cake	插上浅灰色蜡烛的蛋糕
minecraft:cyan_candle_cake	插上青色蜡烛的蛋糕
minecraft:purple_candle_cake	插上紫色蜡烛的蛋糕
minecraft:blue_candle_cake	插上蓝色蜡烛的蛋糕
minecraft:brown_candle_cake	插上棕色蜡烛的蛋糕
minecraft:green_candle_cake	插上绿色蜡烛的蛋糕
minecraft:red_candle_cake	插上红色蜡烛的蛋糕
minecraft:black_candle_cake	插上黑色蜡烛的蛋糕
minecraft:waxed_oxidized_copper	涂蜡的氧化铜方块
minecraft:waxed_oxidized_cut_copper	涂蜡的氧化切制铜方块
minecraft:waxed_oxidized_cut_copper_stairs	涂蜡的氧化切制铜阶梯
minecraft:waxed_oxidized_cut_copper_slab	涂蜡的氧化切制铜半砖
minecraft:waxed_oxidized_double_cut_copper_slab	涂蜡的氧化双切制铜半砖
minecraft:raw_iron_block	铁原矿方块
minecraft:raw_copper_block	铜原矿方块
minecraft:raw_gold_block	金原矿方块
minecraft:infested_deepslate	虫蚀深板岩
minecraft:sculk	伏聆
minecraft:sculk_vein	伏聆脉络
minecraft:sculk_catalyst	伏聆触媒
minecraft:sculk_shrieker	伏聆啸口
minecraft:client_request_placeholder_block	用户端请求预留位置方块
minecraft:reinforced_deepslate	强化深板岩
minecraft:frog_spawn	青蛙卵
minecraft:pearlescent_froglight	珠紫蛙光体
minecraft:verdant_froglight	苍翠蛙光体
minecraft:ochre_froglight	赭黄蛙光体
minecraft:mangrove_leaves	红树林木树叶
minecraft:mud	泥巴
minecraft:mangrove_propagule	红树林木胎生苗
minecraft:mud_bricks	泥砖
minecraft:packed_mud	泥坯
minecraft:mud_brick_slab	泥砖半砖
minecraft:mud_brick_double_slab	双层泥砖半砖
minecraft:mud_brick_stairs	泥砖阶梯
minecraft:mud_brick_wall	泥砖墙
minecraft:mangrove_roots	红树林木根
minecraft:muddy_mangrove_roots	淤泥红树林木根
minecraft:mangrove_log	红树林木原木
minecraft:stripped_mangrove_log	剥皮红树林木原木
minecraft:mangrove_planks	红树林木材
minecraft:mangrove_button	红树林木按钮
minecraft:mangrove_stairs	红树林木阶梯
minecraft:mangrove_slab	红树林木半砖
minecraft:mangrove_pressure_plate	红树林木压力板
minecraft:mangrove_fence	红树林木栅栏
minecraft:mangrove_fence_gate	红树林木栅栏门
minecraft:mangrove_door	红树林木门
minecraft:mangrove_standing_sign	红树林木告示牌
minecraft:mangrove_wall_sign	墙上的红树林木告示牌
minecraft:mangrove_trapdoor	红树林木地板门
minecraft:mangrove_wood	红树林木
minecraft:stripped_mangrove_wood	剥皮红树林木块
minecraft:mangrove_double_slab	双层红树林木半砖
minecraft:oak_hanging_sign	橡木悬挂式告示牌
minecraft:spruce_hanging_sign	杉木悬挂式告示牌
minecraft:birch_hanging_sign	桦木悬挂式告示牌
minecraft:jungle_hanging_sign	丛林木悬挂式告示牌
minecraft:acacia_hanging_sign	相思木悬挂式告示牌
minecraft:dark_oak_hanging_sign	黑橡木悬挂式告示牌
minecraft:crimson_hanging_sign	绯红蕈木悬挂式告示牌
minecraft:warped_hanging_sign	扭曲蕈木悬挂式告示牌
minecraft:mangrove_hanging_sign	红树林木悬挂式告示牌
minecraft:bamboo_mosaic	竹拼块
minecraft:bamboo_planks	竹材
minecraft:bamboo_button	竹按钮
minecraft:bamboo_stairs	竹阶梯
minecraft:bamboo_slab	竹半砖
minecraft:bamboo_pressure_plate	竹压力板
minecraft:bamboo_fence	竹栅栏
minecraft:bamboo_fence_gate	竹栅栏门
minecraft:bamboo_door	竹门
minecraft:bamboo_standing_sign	竹告示牌
minecraft:bamboo_wall_sign	墙上的竹告示牌
minecraft:bamboo_trapdoor	竹地板门
minecraft:bamboo_double_slab	竹材
minecraft:bamboo_hanging_sign	悬挂式竹告示牌
minecraft:bamboo_mosaic_stairs	竹拼阶梯
minecraft:bamboo_mosaic_slab	竹拼半砖
minecraft:bamboo_mosaic_double_slab	双层竹拼半砖
minecraft:chiseled_bookshelf	浮雕书柜
minecraft:bamboo_block	竹方块
minecraft:stripped_bamboo_block	剥皮竹方块
minecraft:suspicious_sand	可疑的沙子
minecraft:cherry_button	樱花木按钮
minecraft:cherry_door	樱花木门
minecraft:cherry_fence	樱花木栅栏
minecraft:cherry_fence_gate	樱花木栅栏门
minecraft:cherry_hanging_sign	悬挂式樱花木告示牌
minecraft:stripped_cherry_log	剥皮樱花木原木
minecraft:cherry_log	樱花木原木
minecraft:cherry_planks	樱花木材
minecraft:cherry_pressure_plate	樱花木压力板
minecraft:cherry_slab	樱花木半砖
minecraft:cherry_double_slab	双层樱花木半砖
minecraft:cherry_stairs	樱花木阶梯
minecraft:cherry_standing_sign	樱花木告示牌
minecraft:cherry_trapdoor	樱花木地板门
minecraft:cherry_wall_sign	墙上的樱花木告示牌
minecraft:stripped_cherry_wood	剥皮樱花木块
minecraft:cherry_wood	樱花木
minecraft:cherry_sapling	樱花木树苗
minecraft:cherry_leaves	樱花木树叶
minecraft:pink_petals	粉瓣花
minecraft:decorated_pot	饰纹陶罐
minecraft:light_gray_wool	浅灰色羊毛
minecraft:gray_wool	灰色羊毛
minecraft:black_wool	黑色羊毛
minecraft:brown_wool	棕色羊毛
minecraft:red_wool	红色羊毛
minecraft:orange_wool	橙色羊毛
minecraft:yellow_wool	黄色羊毛
minecraft:lime_wool	浅绿色羊毛
minecraft:green_wool	绿色羊毛
minecraft:cyan_wool	青色羊毛
minecraft:light_blue_wool	浅蓝色羊毛
minecraft:blue_wool	蓝色羊毛
minecraft:purple_wool	紫色羊毛
minecraft:magenta_wool	洋红色羊毛
minecraft:pink_wool	粉红色羊毛
minecraft:torchflower_crop	火把花植株
minecraft:torchflower	火把花
minecraft:spruce_log	杉木原木
minecraft:birch_log	桦木原木
minecraft:jungle_log	丛林木原木
minecraft:dark_oak_log	黑橡木原木
minecraft:suspicious_gravel	可疑的砾石
minecraft:pitcher_crop	瓶子草植株
minecraft:acacia_fence	相思木栅栏
minecraft:birch_fence	桦木栅栏
minecraft:dark_oak_fence	黑橡木栅栏
minecraft:jungle_fence	丛林木栅栏
minecraft:spruce_fence	杉木栅栏
minecraft:calibrated_sculk_sensor	校准伏聆振测器
minecraft:brain_coral	脑珊瑚
minecraft:bubble_coral	气泡珊瑚
minecraft:fire_coral	火珊瑚
minecraft:horn_coral	角珊瑚
minecraft:dead_tube_coral	死亡的管珊瑚
minecraft:dead_brain_coral	死亡的脑珊瑚
minecraft:dead_bubble_coral	死亡的气泡珊瑚
minecraft:dead_fire_coral	死亡的火珊瑚
minecraft:dead_horn_coral	死亡的角珊瑚
minecraft:sniffer_egg	嗅探兽蛋
minecraft:orange_carpet	橙色地毯
minecraft:magenta_carpet	洋红色地毯
minecraft:light_blue_carpet	浅蓝色地毯
minecraft:yellow_carpet	黄色地毯
minecraft:lime_carpet	浅绿色地毯
minecraft:pink_carpet	粉红色地毯
minecraft:gray_carpet	灰色地毯
minecraft:light_gray_carpet	浅灰色地毯
minecraft:cyan_carpet	青色地毯
minecraft:purple_carpet	紫色地毯
minecraft:blue_carpet	蓝色地毯
minecraft:brown_carpet	棕色地毯
minecraft:green_carpet	绿色地毯
minecraft:red_carpet	红色地毯
minecraft:black_carpet	黑色地毯
minecraft:pitcher_plant	瓶子草
